yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
上海证券有限责任公司深圳福虹路证券营业部,27,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,10,17,2016-07-28
上海证券有限责任公司温州月乐西街证券营业部,91,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,15,76,2016-09-01
上海证券有限责任公司温州永中西路证券营业部,18,2015-10-13,0,0,0,0,0,0,0,0,0,0,0,3,15,2016-08-22
上海证券有限责任公司温州永嘉环城西路证券营业部,1,2016-08-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-22
上海证券有限责任公司温州谢池商城证券营业部,64,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,26,38,2016-08-24
上海证券有限责任公司瑞安塘下大道证券营业部,20,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,1,19,2016-08-31
上海证券有限责任公司瑞安罗阳大道证券营业部,27,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,9,18,2016-08-16
上海证券有限责任公司福州五四路证券营业部,9,2016-01-27,0,0,0,0,0,0,0,0,0,0,0,0,9,2016-06-27
上海证券有限责任公司苏州干将西路证券营业部,10,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,3,7,2016-08-15
上海证券有限责任公司莘庄证券营业部,5,2015-10-13,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-07-13
上海证券有限责任公司虹口新市路证券营业部,2,2016-07-26,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-02
上海证券有限责任公司虹梅路证券营业部,10,2015-09-29,0,0,0,0,0,0,0,0,0,0,0,3,7,2016-07-15
上海证券有限责任公司襄阳北路证券营业部,4,2015-09-25,0,0,0,0,0,0,0,0,0,0,0,3,1,2016-08-29
上海证券有限责任公司西藏南路证券营业部,2,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-11-23
上海证券有限责任公司证券投资总部,3,2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-06-15
