yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
万联证券有限责任公司广州芳村证券营业部,30,2006-09-27,0,0,1,9,5,15,0,0,0,0,0,0,0,2009-10-19
万联证券有限责任公司广州荔湾东漖北路证券营业部,4,2010-04-22,0,0,0,0,0,0,4,0,0,0,0,0,0,2010-05-28
万联证券有限责任公司总部,1,2011-05-26,0,0,0,0,0,0,0,1,0,0,0,0,0,2011-05-26
万联证券有限责任公司成都天府二街证券营业部,63,2014-08-07,0,0,0,0,0,0,0,0,0,0,28,31,4,2016-08-04
万联证券有限责任公司成都清江东路证券营业部,1,2016-08-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-23
万联证券有限责任公司投资管理部,1,2014-12-29,0,0,0,0,0,0,0,0,0,0,1,0,0,2014-12-29
万联证券有限责任公司揭阳普宁证券营业部,4,2016-08-16,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-09-02
万联证券有限责任公司杭州上塘路证券营业部,14,2015-03-24,0,0,0,0,0,0,0,0,0,0,0,2,12,2016-09-02
万联证券有限责任公司永州东安龙溪路证券营业部,1,2014-07-17,0,0,0,0,0,0,0,0,0,0,1,0,0,2014-07-17
万联证券有限责任公司永州湘永路证券营业部,7,2014-10-13,0,0,0,0,0,0,0,0,0,0,3,1,3,2016-07-12
万联证券有限责任公司永州芝山路证券营业部,38,2012-06-25,0,0,0,0,0,0,0,0,2,1,0,28,7,2016-03-25
万联证券有限责任公司永州零陵中路证券营业部,12,2007-09-03,0,0,0,2,4,1,3,2,0,0,0,0,0,2011-04-25
万联证券有限责任公司绍兴中兴南路证券营业部,160,2005-08-05,0,2,7,17,39,25,16,15,17,5,6,11,0,2015-08-28
万联证券有限责任公司绍兴解放南路证券营业部,23,2015-08-31,0,0,0,0,0,0,0,0,0,0,0,7,16,2016-08-25
万联证券有限责任公司耒阳五一东路证券营业部,5,2010-11-09,0,0,0,0,0,0,2,0,2,0,0,1,0,2015-03-09
万联证券有限责任公司荆门长宁大道证券营业部,62,2007-01-04,0,0,0,1,6,5,7,9,14,6,6,6,2,2016-08-25
